date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012/1/1 9:55,0.0,144.972,1.379,280.503,101848.784,1.235
2012/1/1 10:00,0.0,144.535,1.525,280.576,101846.944,1.234
2012/1/1 10:05,0.0,143.944,1.641,280.838,101843.28,1.234
2012/1/1 10:10,0.0,142.687,1.751,280.927,101841.456,1.234
2012/1/1 10:15,0.0,141.112,1.827,281.006,101839.624,1.233
2012/1/1 10:20,0.0,106.184,1.144,281.278,101835.96,1.234
2012/1/1 10:25,0.0,101.367,1.138,281.385,101831.384,1.234
2012/1/1 10:30,0.0,104.223,1.153,281.528,101827.72,1.233
2012/1/1 10:35,0.0,106.118,1.123,281.736,101824.056,1.233
2012/1/1 10:40,0.0,107.305,1.113,281.824,101817.648,1.233
2012/1/1 10:45,0.0,108.623,1.132,281.891,101813.984,1.233
2012/1/1 10:50,0.0,107.871,1.138,281.992,101806.664,1.232
2012/1/1 10:55,0.0,106.558,1.138,282.038,101803.912,1.232
2012/1/1 11:00,0.0,103.872,1.135,282.09,101798.424,1.232
2012/1/1 11:05,0.0,100.982,1.138,282.181,101792.016,1.232
2012/1/1 11:10,0.0,98.373,1.144,282.251,101785.6,1.231
2012/1/1 11:15,0.0,98.422,1.138,282.331,101781.944,1.231
2012/1/1 11:20,0.0,98.571,1.092,282.474,101776.456,1.231
2012/1/1 11:25,0.0,99.658,1.055,282.569,101772.792,1.23
2012/1/1 11:30,0.0,100.619,0.979,282.66,101770.04,1.23
2012/1/1 11:35,0.0,99.829,0.903,282.782,101762.72,1.23
2012/1/1 11:40,0.0,96.446,0.82,282.874,101759.056,1.23
2012/1/1 11:45,0.0,91.728,0.75,282.959,101753.56,1.229
2012/1/1 11:50,0.0,85.077,0.683,283.054,101745.32,1.229
2012/1/1 11:55,0.0,81.222,0.692,283.13,101737.08,1.229
2012/1/1 12:00,0.0,83.946,0.701,283.21,101733.424,1.229
2012/1/1 12:05,0.0,82.891,0.683,283.313,101730.672,1.228
2012/1/1 12:10,0.0,81.804,0.656,283.399,101727.92,1.228
2012/1/1 12:15,0.0,83.375,0.622,283.49,101722.432,1.228
2012/1/1 12:20,0.0,84.484,0.631,283.588,101714.192,1.227
2012/1/1 12:25,0.0,85.956,0.622,283.686,101710.528,1.227
2012/1/1 12:30,0.0,87.698,0.57,283.777,101703.2,1.227
2012/1/1 12:35,0.0,88.439,0.534,283.844,101695.88,1.227
2012/1/1 12:40,0.0,88.593,0.494,283.918,101694.968,1.226
2012/1/1 12:45,0.0,83.968,0.479,283.988,101688.552,1.226
2012/1/1 12:50,0.0,85.457,0.5,284.009,101682.152,1.226
2012/1/1 12:55,0.0,87.214,0.552,284.055,101677.568,1.225
2012/1/1 13:00,0.0,93.789,0.616,284.082,101672.992,1.225
2012/1/1 13:05,0.0,102.478,0.677,284.079,101665.664,1.225
2012/1/1 13:10,0.0,111.172,0.741,284.095,101662.92,1.224
2012/1/1 13:15,0.0,117.796,0.811,284.116,101659.256,1.224
2012/1/1 13:20,0.0,123.805,0.906,284.101,101655.592,1.223
2012/1/1 13:25,0.0,127.957,1.019,284.131,101651.016,1.223
2012/1/1 13:30,0.0,128.748,1.138,284.171,101645.52,1.223
2012/1/1 13:35,0.0,128.77,1.272,284.162,101641.856,1.222
2012/1/1 13:40,0.0,128.622,1.428,284.214,101636.368,1.222
2012/1/1 13:45,0.0,128.183,1.544,284.266,101627.208,1.221
2012/1/1 13:50,0.0,125.926,1.669,284.244,101622.632,1.221
2012/1/1 13:55,0.0,123.663,1.8,284.281,101614.4,1.22
2012/1/1 14:00,0.0,121.604,1.989,284.314,101607.072,1.22
2012/1/1 14:05,0.002,121.731,2.239,284.238,101597.0,1.219
2012/1/1 14:10,0.004,121.605,2.444,284.275,101585.104,1.219
2012/1/1 14:15,0.006,120.457,2.621,284.308,101575.032,1.219
2012/1/1 14:20,0.008,119.715,2.773,284.205,101569.528,1.218
2012/1/1 14:25,0.009,119.232,2.908,284.235,101562.208,1.218
2012/1/1 14:30,0.014,118.21,3.042,284.259,101554.88,1.218
2012/1/1 14:35,0.023,117.49,3.139,284.034,101546.648,1.217
2012/1/1 14:40,0.03,117.1,3.213,284.064,101542.072,1.217
2012/1/1 14:45,0.032,116.869,3.231,284.095,101536.576,1.217
2012/1/1 14:50,0.03,116.435,3.21,283.82,101531.08,1.217
2012/1/1 14:55,0.026,115.375,3.173,283.841,101524.672,1.217
2012/1/1 15:00,0.025,114.491,3.164,283.863,101519.176,1.217
2012/1/1 15:05,0.027,114.062,3.179,283.57,101513.688,1.216
2012/1/1 15:10,0.027,113.332,3.185,283.591,101508.192,1.216
2012/1/1 15:15,0.028,112.574,3.197,283.634,101507.28,1.216
2012/1/1 15:20,0.029,111.821,3.207,283.381,101503.616,1.216
2012/1/1 15:25,0.033,111.871,3.246,283.384,101499.04,1.216
2012/1/1 15:30,0.04,112.437,3.323,283.359,101497.2,1.216
2012/1/1 15:35,0.049,114.058,3.411,283.127,101490.8,1.216
2012/1/1 15:40,0.057,114.832,3.493,283.1,101485.304,1.216
2012/1/1 15:45,0.065,114.454,3.585,283.078,101479.816,1.216
2012/1/1 15:50,0.074,114.119,3.673,282.932,101472.488,1.216
2012/1/1 15:55,0.079,113.91,3.725,282.905,101466.992,1.216
2012/1/1 16:00,0.08,113.575,3.741,282.877,101462.416,1.216
2012/1/1 16:05,0.081,113.608,3.75,282.847,101456.92,1.216
2012/1/1 16:10,0.083,114.02,3.774,282.825,101451.432,1.216
2012/1/1 16:15,0.087,114.575,3.811,282.816,101449.592,1.216
2012/1/1 16:20,0.093,115.735,3.875,282.734,101445.936,1.216
2012/1/1 16:25,0.104,116.795,3.991,282.712,101439.52,1.216
2012/1/1 16:30,0.13,117.828,4.162,282.7,101437.696,1.216
2012/1/1 16:35,0.168,120.191,4.388,282.673,101434.944,1.216
2012/1/1 16:40,0.203,122.245,4.601,282.706,101432.2,1.216
2012/1/1 16:45,0.239,124.031,4.821,282.749,101430.368,1.216
2012/1/1 16:50,0.277,125.465,5.044,282.755,101428.536,1.216
2012/1/1 16:55,0.317,126.003,5.218,282.767,101423.96,1.216
2012/1/1 17:00,0.34,125.031,5.315,282.758,101421.208,1.216
2012/1/1 17:05,0.373,124.004,5.459,282.73,101417.552,1.216
2012/1/1 17:10,0.401,123.921,5.578,282.669,101412.976,1.216
2012/1/1 17:15,0.429,124.443,5.703,282.624,101407.488,1.216
2012/1/1 17:20,0.465,124.883,5.855,282.593,101405.648,1.216
2012/1/1 17:25,0.484,126.108,5.938,282.56,101404.736,1.216
2012/1/1 17:30,0.482,126.85,5.932,282.529,101399.24,1.216
2012/1/1 17:35,0.465,127.124,5.858,282.526,101396.496,1.216
2012/1/1 17:40,0.418,127.004,5.654,282.508,101393.752,1.216
2012/1/1 17:45,0.374,126.757,5.465,282.495,101388.256,1.216
2012/1/1 17:50,0.329,127.18,5.266,282.48,101384.592,1.216
