date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012/1/2 4:50,0.277,202.446,5.041,278.675,100979.912,1.217
2012/1/2 4:55,0.209,206.17,4.642,278.586,100979.912,1.218
2012/1/2 5:00,0.16,210.158,4.339,278.54,100979.912,1.218
2012/1/2 5:05,0.122,214.618,4.107,278.498,100977.168,1.219
2012/1/2 5:10,0.102,217.376,3.964,278.461,100976.248,1.219
2012/1/2 5:15,0.091,219.815,3.857,278.412,100976.248,1.22
2012/1/2 5:20,0.084,222.798,3.781,278.354,100974.424,1.22
2012/1/2 5:25,0.077,225.539,3.702,278.309,100974.424,1.221
2012/1/2 5:30,0.069,227.571,3.619,278.275,100971.672,1.222
2012/1/2 5:35,0.063,229.021,3.552,278.244,100969.84,1.222
2012/1/2 5:40,0.06,230.982,3.524,278.229,100968.928,1.223
2012/1/2 5:45,0.06,233.174,3.521,278.22,100969.84,1.223
2012/1/2 5:50,0.061,234.514,3.537,278.208,100970.76,1.224
2012/1/2 5:55,0.06,235.75,3.524,278.186,100969.84,1.224
2012/1/2 6:00,0.055,236.184,3.473,278.159,100964.352,1.224
2012/1/2 6:05,0.051,235.833,3.427,278.162,100959.776,1.223
2012/1/2 6:10,0.044,235.009,3.36,278.132,100956.112,1.223
2012/1/2 6:15,0.037,235.333,3.283,278.107,100951.528,1.223
2012/1/2 6:20,0.03,236.689,3.213,278.141,100947.872,1.223
2012/1/2 6:25,0.024,238.667,3.149,278.138,100943.296,1.223
2012/1/2 6:30,0.021,241.688,3.109,278.135,100938.72,1.223
2012/1/2 6:35,0.02,245.67,3.1,278.183,100935.968,1.224
2012/1/2 6:40,0.02,250.3,3.106,278.18,100935.968,1.224
2012/1/2 6:45,0.023,254.827,3.131,278.174,100938.72,1.225
2012/1/2 6:50,0.024,258.172,3.146,278.247,100939.632,1.225
2012/1/2 6:55,0.025,260.193,3.149,278.244,100939.632,1.225
2012/1/2 7:00,0.023,261.023,3.128,278.241,100937.8,1.225
2012/1/2 7:05,0.02,260.935,3.1,278.287,100938.72,1.226
2012/1/2 7:10,0.016,260.018,3.06,278.287,100935.968,1.226
2012/1/2 7:15,0.012,258.502,3.021,278.284,100931.392,1.226
2012/1/2 7:20,0.01,256.64,2.999,278.357,100930.48,1.226
2012/1/2 7:25,0.012,254.464,3.015,278.363,100927.728,1.226
2012/1/2 7:30,0.01,251.449,2.987,278.37,100921.32,1.225
